# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
4437334333,-0.000336,-0.001784,0.001327,-0.625675,-0.018140,9.742846
4447334333,-0.000191,-0.001579,0.001304,-0.611027,-0.044357,9.599760
4457334333,-0.000024,-0.001390,0.001214,-0.593276,-0.032984,9.492073
4467334333,0.000101,-0.001146,0.001184,-0.578374,-0.064817,9.412724
4477334333,0.000181,-0.000889,0.001124,-0.468507,-0.036026,9.349545
4487334333,0.000291,-0.000736,0.000996,-0.395580,-0.055601,9.208633
4497334333,0.000308,-0.000528,0.000877,-0.372130,-0.051513,9.166001
4507334333,0.000381,-0.000336,0.000757,-0.280820,-0.040137,9.058346
4517334333,0.000398,-0.000158,0.000591,-0.235528,-0.020663,8.947350
4527334333,0.000374,0.000072,0.000360,-0.169710,0.006637,8.854327
4537334333,0.000364,0.000185,0.000115,-0.153559,-0.032134,8.771538
4547334333,0.000305,0.000348,-0.000101,-0.075866,-0.057059,8.658422
4557334333,0.000169,0.000495,-0.000314,-0.016832,-0.036995,8.537499
4567334333,0.000171,0.000637,-0.000587,0.155484,0.008008,8.573786
4577334333,0.000056,0.000742,-0.000839,0.344483,0.010335,8.798637
4587334333,-0.000101,0.000853,-0.001047,0.642727,0.047267,8.973724
4597334333,-0.000174,0.000900,-0.001233,0.844848,0.071092,9.117160
4607334333,-0.000326,0.000918,-0.001439,1.060692,0.049989,9.285436
4617334333,-0.000407,0.000990,-0.001580,1.336746,0.025266,9.428482
4627334333,-0.000463,0.000927,-0.001678,1.606190,0.030351,9.556918
4637334333,-0.000563,0.000792,-0.001775,1.846732,0.050671,9.729050
4647334333,-0.000728,0.000755,-0.001840,2.103459,-0.007020,9.888636
4657334333,-0.000881,0.000585,-0.001933,2.299321,0.046712,10.016954
4667334333,-0.000958,0.000453,-0.001891,2.440547,-0.004648,10.127551
4677334333,-0.000954,0.000251,-0.001914,2.150111,-0.025442,10.189501
4687334333,-0.001073,0.000131,-0.001789,1.874636,-0.056866,10.244846
4697334333,-0.001165,0.000010,-0.001765,1.614088,-0.026596,10.290349
4707334333,-0.001053,-0.000052,-0.001647,1.314490,0.011930,10.342016
4717334333,-0.001054,-0.000156,-0.001590,1.060659,-0.000127,10.458669
4727334333,-0.001020,-0.000268,-0.001341,0.790641,-0.047812,10.478392
4737334333,-0.000879,-0.000199,-0.001186,0.505190,-0.062014,10.549916
4747334333,-0.000782,-0.000256,-0.001026,0.202642,-0.026705,10.648704
4757334333,-0.000578,-0.000317,-0.000783,-0.027669,-0.036027,10.727706
4767334333,-0.000400,-0.000257,-0.000530,-0.320677,-0.090593,10.816687
